sofifa_id,short_name,age,height_cm,weight_kg,nationality,club,league,overall,potential,value_eur,wage_eur,preferred_foot,international_reputation,weak_foot,skill_moves,work_rate,team_position,pace,shooting,passing,dribbling,defending,physic,gk_diving,gk_handling,gk_kicking,gk_reflexes,gk_speed,gk_positioning,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking,defending_standing_tackle,defending_sliding_tackle,playerType,pca0,pca1,cluster
158023,L. Messi,32,170,72,Argentina,FC Barcelona,La Liga,94,94,95500000,565000,Left,5,4,4,Medium,RW,87.0,92.0,92.0,96.0,39.0,66.0,71.70642201834862,69.06727828746178,66.76758409785933,73.07033639143731,41.24770642201835,69.59021406727828,88,95,70,92,88,97,93,94,92,96,91,84,93,95,95,86,68,75,68,94,48,40,94,94,75,96,33,37,26,Forward,14.199775858477427,-2.272069718467834,1
20801,Cristiano Ronaldo,34,187,83,Portugal,Juventus,Serie A,93,93,58500000,405000,Right,5,4,5,High,LW,90.0,93.0,82.0,89.0,35.0,78.0,71.70642201834862,69.06727828746178,66.76758409785933,73.07033639143731,41.24770642201835,69.59021406727828,84,94,89,83,87,89,81,76,77,92,89,91,87,96,71,95,95,85,78,93,63,29,95,82,85,95,28,32,24,Forward,11.247299925328663,-0.0468339453843162,2
190871,Neymar Jr,27,175,68,Brazil,Paris Saint-Germain,Ligue 1,92,92,105500000,290000,Right,5,5,5,High,CAM,91.0,85.0,87.0,95.0,32.0,58.0,71.70642201834862,69.06727828746178,66.76758409785933,73.07033639143731,41.24770642201835,69.59021406727828,87,87,62,87,87,96,88,87,81,95,94,89,96,92,84,80,61,81,49,84,51,36,87,90,90,94,27,26,29,Midfielder,11.296740606358103,-2.4426205319974734,4
200389,J. Oblak,26,188,87,Slovenia,Atletico Madrid,La Liga,91,93,77500000,125000,Right,3,3,1,Medium,GK,68.6311475409836,58.035394932935915,63.73919523099851,68.6784649776453,57.07675111773472,66.82451564828614,87.0,92.0,78.0,89.0,52.0,90.0,13,11,15,43,13,12,13,14,40,30,43,60,67,88,49,59,78,41,78,12,34,19,11,65,11,68,27,12,18,Goalkeeper,6.996706403199163,1.6938177364120137,1
183277,E. Hazard,28,175,74,Belgium,Real Madrid,La Liga,91,91,90000000,470000,Right,4,4,4,High,LW,91.0,83.0,86.0,94.0,35.0,66.0,71.70642201834862,69.06727828746178,66.76758409785933,73.07033639143731,41.24770642201835,69.59021406727828,81,84,61,89,83,95,83,79,83,94,94,88,95,90,94,82,56,84,63,80,54,41,87,89,88,91,34,27,22,Forward,12.006134568104295,-2.4431082647501046,1
192985,K. De Bruyne,28,181,70,Belgium,Manchester City,Premier League,91,91,90000000,370000,Right,4,5,4,High,RCM,76.0,86.0,92.0,86.0,61.0,78.0,71.70642201834862,69.06727828746178,66.76758409785933,73.07033639143731,41.24770642201835,69.59021406727828,93,82,55,92,82,86,85,83,91,91,77,76,78,91,76,91,63,89,74,90,76,61,88,94,79,91,68,58,51,Midfielder,10.844470694149395,-1.739647468804352,0
192448,M. ter Stegen,27,187,85,Germany,FC Barcelona,La Liga,90,93,67500000,250000,Right,3,4,1,Medium,GK,68.6311475409836,58.035394932935915,63.73919523099851,68.6784649776453,57.07675111773472,66.82451564828614,88.0,85.0,88.0,90.0,45.0,88.0,18,14,11,61,14,21,18,12,63,30,38,50,37,86,43,66,79,35,78,10,43,22,11,70,25,70,25,13,10,Goalkeeper,7.869576130898692,1.469658641337128,1
203376,V. van Dijk,27,193,92,Netherlands,Liverpool,Premier League,90,91,78000000,200000,Right,3,3,2,Medium,LCB,77.0,60.0,70.0,71.0,90.0,86.0,71.70642201834862,69.06727828746178,66.76758409785933,73.07033639143731,41.24770642201835,69.59021406727828,53,52,86,78,45,70,60,70,81,76,74,79,61,88,53,81,90,75,92,64,82,89,47,65,62,89,91,92,85,Defender,7.797643114144439,2.1360781858855535,0
177003,L. Modric,33,172,66,Croatia,Real Madrid,La Liga,90,90,45000000,340000,Right,4,4,4,High,RCM,74.0,76.0,89.0,89.0,72.0,66.0,71.70642201834862,69.06727828746178,66.76758409785933,73.07033639143731,41.24770642201835,69.59021406727828,86,72,55,92,76,87,85,78,88,92,77,71,92,89,93,79,68,85,58,82,62,82,79,91,82,92,68,76,71,Midfielder,8.69340919316422,-2.2192227663616433,1
209331,M. Salah,27,175,71,Egypt,Liverpool,Premier League,90,90,80500000,240000,Left,3,3,4,High,RW,93.0,86.0,81.0,89.0,45.0,74.0,71.70642201834862,69.06727828746178,66.76758409785933,73.07033639143731,41.24770642201835,69.59021406727828,79,90,59,84,79,89,83,69,75,89,94,92,91,92,88,80,69,85,73,84,63,55,92,84,77,91,38,43,41,Forward,8.347424693541363,-2.587872241924941,0
