sofifa_id,short_name,age,height_cm,weight_kg,nationality,club,overall,potential,value_eur,wage_eur,preferred_foot,international_reputation,weak_foot,skill_moves,work_rate,team_position,pace,shooting,passing,dribbling,defending,physic,gk_diving,gk_handling,gk_kicking,gk_reflexes,gk_speed,gk_positioning,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking,defending_standing_tackle,defending_sliding_tackle
158023,L. Messi,32,170,72,Argentina,FC Barcelona,94,94,95500000,565000,Left,5,4,4,Medium,RW,87,92,92,96,39,66,,,,,,,88,95,70,92,88,97,93,94,92,96,91,84,93,95,95,86,68,75,68,94,48,40,94,94,75,96,33,37,26
20801,Cristiano Ronaldo,34,187,83,Portugal,Juventus,93,93,58500000,405000,Right,5,4,5,High,LW,90,93,82,89,35,78,,,,,,,84,94,89,83,87,89,81,76,77,92,89,91,87,96,71,95,95,85,78,93,63,29,95,82,85,95,28,32,24
190871,Neymar Jr,27,175,68,Brazil,Paris Saint-Germain,92,92,105500000,290000,Right,5,5,5,High,CAM,91,85,87,95,32,58,,,,,,,87,87,62,87,87,96,88,87,81,95,94,89,96,92,84,80,61,81,49,84,51,36,87,90,90,94,27,26,29
200389,J. Oblak,26,188,87,Slovenia,Atlético Madrid,91,93,77500000,125000,Right,3,3,1,Medium,GK,,,,,,,87,92,78,89,52,90,13,11,15,43,13,12,13,14,40,30,43,60,67,88,49,59,78,41,78,12,34,19,11,65,11,68,27,12,18
183277,E. Hazard,28,175,74,Belgium,Real Madrid,91,91,90000000,470000,Right,4,4,4,High,LW,91,83,86,94,35,66,,,,,,,81,84,61,89,83,95,83,79,83,94,94,88,95,90,94,82,56,84,63,80,54,41,87,89,88,91,34,27,22
192985,K. De Bruyne,28,181,70,Belgium,Manchester City,91,91,90000000,370000,Right,4,5,4,High,RCM,76,86,92,86,61,78,,,,,,,93,82,55,92,82,86,85,83,91,91,77,76,78,91,76,91,63,89,74,90,76,61,88,94,79,91,68,58,51
192448,M. ter Stegen,27,187,85,Germany,FC Barcelona,90,93,67500000,250000,Right,3,4,1,Medium,GK,,,,,,,88,85,88,90,45,88,18,14,11,61,14,21,18,12,63,30,38,50,37,86,43,66,79,35,78,10,43,22,11,70,25,70,25,13,10
203376,V. van Dijk,27,193,92,Netherlands,Liverpool,90,91,78000000,200000,Right,3,3,2,Medium,LCB,77,60,70,71,90,86,,,,,,,53,52,86,78,45,70,60,70,81,76,74,79,61,88,53,81,90,75,92,64,82,89,47,65,62,89,91,92,85
177003,L. Modrić,33,172,66,Croatia,Real Madrid,90,90,45000000,340000,Right,4,4,4,High,RCM,74,76,89,89,72,66,,,,,,,86,72,55,92,76,87,85,78,88,92,77,71,92,89,93,79,68,85,58,82,62,82,79,91,82,92,68,76,71
209331,M. Salah,27,175,71,Egypt,Liverpool,90,90,80500000,240000,Left,3,3,4,High,RW,93,86,81,89,45,74,,,,,,,79,90,59,84,79,89,83,69,75,89,94,92,91,92,88,80,69,85,73,84,63,55,92,84,77,91,38,43,41
231747,K. Mbappé,20,178,73,France,Paris Saint-Germain,89,95,93500000,155000,Right,3,4,5,High,RW,96,84,78,90,39,75,,,,,,,78,89,77,82,79,91,79,63,70,90,96,96,92,89,83,83,76,84,76,79,62,38,89,80,70,84,34,34,32
201024,K. Koulibaly,28,187,89,Senegal,Napoli,89,91,67500000,150000,Right,3,3,2,Medium,LCB,71,28,54,67,89,87,,,,,,,30,22,83,71,14,69,28,28,63,71,69,73,52,86,41,55,81,73,95,15,87,88,35,52,33,82,91,90,87
202126,H. Kane,25,188,89,England,Tottenham Hotspur,89,91,83000000,220000,Right,3,4,3,High,ST,70,91,79,81,47,83,,,,,,,75,94,86,81,85,80,78,68,83,84,68,72,71,91,73,90,79,87,84,86,78,35,93,81,90,91,56,36,38
212831,Alisson,26,191,91,Brazil,Liverpool,89,91,58000000,155000,Right,3,3,1,Medium,GK,,,,,,,85,84,85,89,51,90,17,13,19,45,20,27,19,18,44,30,56,47,40,88,37,64,52,32,78,14,27,11,13,66,23,65,15,19,16
193080,De Gea,28,192,82,Spain,Manchester United,89,90,56000000,205000,Right,4,3,1,Medium,GK,,,,,,,90,84,81,92,58,85,17,13,21,50,13,18,21,19,47,38,57,58,63,87,43,61,67,43,60,12,38,30,12,65,29,68,25,21,13
215914,N. Kanté,28,168,72,France,Chelsea,89,90,66000000,235000,Right,3,3,2,Medium,RCM,78,65,77,81,87,83,,,,,,,68,65,54,86,56,79,49,49,81,80,79,77,82,93,92,71,77,97,73,63,90,92,72,79,54,85,90,91,85
138956,G. Chiellini,34,187,85,Italy,Juventus,89,89,24500000,215000,Left,4,3,2,Medium,LCB,68,46,58,60,90,82,,,,,,,54,33,83,65,45,59,60,31,65,61,61,73,57,82,57,78,89,59,89,49,91,88,28,50,50,84,94,91,89
153079,S. Agüero,31,173,70,Argentina,Manchester City,89,89,60000000,300000,Right,4,4,4,High,ST,80,90,77,88,33,74,,,,,,,70,93,78,83,85,88,83,73,64,89,82,78,84,92,91,89,81,79,74,84,65,24,93,83,83,90,30,29,24
